SequenceName	ClusterNumber
RSRS	-1
NA19474	1
NA19314	1
NA19031	1
NA19328	1
NA19904	1
NA19713	1
NA19312	1
HG03063	1
NA18510	1
HG03084	1
HG02111	1
NA19379	1
NA19350	1
NA19027	1
NA19042	1
HG02420	1
NA18861	1
HG02971	1
NA18877	1
HG03298	1
NA18876	1
HG02433	1
NA19430	1
HG03517	1
HG03267	1
NA20355	1
NA20334	1
HG02981	1
HG03268	1
NA19137	1
HG03127	1
HG01882	1
NA19440	1
NA19467	1
NA19703	1
NA19466	1
NA19448	1
NA19449	1
NA19327	2
NA19454	2
HG02561	3
HG02678	3
NA19909	3
HG01956	3
HG01886	3
HG03066	3
HG02820	3
HG02635	3
HG03470	3
HG03436	3
HG03469	3
HG03058	3
HG02571	3
HG02646	3
NA20412	3
HG02589	3
NA20289	3
HG03057	3
NA20282	3
HG03052	3
HG02855	3
HG02840	3
NA20321	3
NA20320	3
HG02891	3
HG02811	3
HG03295	3
NA19834	3
NA19041	3
HG03442	3
NA19431	3
NA18486	3
NA19131	3
HG03311	3
HG03351	3
HG01988	3
HG02772	3
HG02562	3
NA18501	3
HG03270	3
HG03079	3
NA18917	3
NA19916	3
HG03073	3
HG02477	3
HG03099	3
HG03103	3
NA19198	3
NA19462	3
NA19190	3
NA18933	3
HG02580	3
NA19210	3
HG02343	3
HG03120	3
HG03166	3
HG02108	3
NA18498	3
NA19206	3
HG03112	3
HG03136	3
NA19471	3
NA18923	3
NA18507	3
NA18924	3
HG02307	3
NA19207	3
NA19223	3
HG03109	3
HG02974	3
NA19712	4
HG03133	4
HG02332	4
NA19378	4
HG03363	4
HG03271	4
HG03300	4
HG02442	4
HG03499	4
HG03313	4
HG02283	4
HG03168	4
NA19323	4
HG02282	4
HG03464	4
HG03096	4
HG02611	4
HG03385	4
HG03391	4
HG03380	4
HG02014	4
NA19917	4
HG02322	4
HG02053	4
HG02052	4
HG02427	4
HG02010	4
NA20281	4
NA19385	4
HG03397	4
HG03077	4
HG01885	4
HG03343	4
HG01986	4
NA20362	4
NA20359	4
HG02983	4
HG01990	4
NA19914	4
NA19256	4
NA18915	4
NA19390	4
NA19332	5
NA19461	5
NA19455	5
NA19318	5
NA19043	5
HG03240	6
HG03209	6
NA19201	6
HG03367	6
NA19108	6
NA19146	6
HG03130	6
NA19317	7
NA19308	7
NA19019	7
NA19404	8
NA19374	8
HG03439	9
HG03172	9
NA19901	9
NA18881	9
HG03193	9
HG02923	9
NA19213	9
HG03111	9
HG02946	9
HG03162	9
NA19172	9
HG02541	9
NA18520	9
HG03303	9
HG03259	10
HG02570	10
HG03458	10
HG02496	10
NA19383	10
NA19463	11
NA19445	11
NA19435	11
NA19434	11
NA18879	11
HG03189	11
HG03139	11
NA19028	12
NA19443	12
NA19393	12
NA19376	12
NA19152	12
HG03202	12
HG02577	12
HG03132	12
NA19129	12
NA20357	12
NA19116	12
HG02337	12
HG01958	12
HG03028	12
NA19239	12
HG02419	12
NA19403	12
HG02009	12
HG03461	12
HG03064	12
HG03432	12
NA18878	12
HG02497	12
HG02314	12
HG02554	12
NA18856	12
HG02489	12
NA20274	12
NA19625	12
NA18519	12
HG02325	12
NA19225	12
HG03342	12
HG03121	12
NA19099	12
NA19394	12
HG02679	12
HG03078	12
NA18868	12
NA20351	12
HG03117	12
HG02508	12
NA18912	12
HG03571	12
HG03557	12
NA19923	12
HG02895	12
HG02861	12
HG01896	12
NA19130	12
NA19096	12
HG03088	12
HG02851	12
NA19908	12
HG02819	12
NA18910	12
