SequenceName	ClusterNumber
RSRS	-1
NA19327	1
NA19454	1
NA19474	1
NA19314	1
NA19031	1
NA19328	1
NA19904	1
NA19713	1
NA19312	1
HG03063	1
NA18510	1
HG03084	1
HG02111	1
NA19379	1
NA19350	1
NA19027	1
NA19042	1
HG02420	1
NA18861	1
HG02971	1
NA18877	1
HG03298	1
NA18876	1
HG02433	1
NA19430	1
HG03517	1
HG03267	1
NA20355	1
NA20334	1
HG02981	1
HG03268	1
NA19137	1
HG03127	1
HG01882	1
NA19440	1
NA19467	1
NA19703	1
NA19466	1
NA19448	1
NA19449	1
HG02561	2
HG02678	2
NA19909	2
HG01956	2
HG01886	2
HG03066	2
HG02820	2
HG02635	2
HG03470	2
HG03436	2
HG03469	2
HG03058	2
HG02571	2
HG02646	2
NA20412	2
HG02589	2
NA20289	2
HG03057	2
NA20282	2
HG03052	2
HG02855	2
HG02840	2
NA20321	2
NA20320	2
HG02891	2
HG02811	2
HG03295	2
NA19834	2
NA19041	2
HG03442	2
NA19431	2
NA18486	2
NA19131	2
HG03311	2
HG03351	2
HG01988	2
HG02772	2
HG02562	2
NA18501	2
HG03270	2
HG03079	2
NA18917	2
NA19916	2
HG03073	2
HG02477	2
HG03099	2
HG03103	2
NA19198	2
NA19462	2
NA19190	2
NA18933	2
HG02580	2
NA19210	2
HG02343	2
HG03120	2
HG03166	2
HG02108	2
NA18498	2
NA19206	2
HG03112	2
HG03136	2
NA19471	2
NA18923	2
NA18507	2
NA18924	2
HG02307	2
NA19207	2
NA19223	2
HG03109	2
HG02974	2
NA19712	3
HG03133	3
HG02332	3
NA19378	3
HG03363	3
HG03271	3
HG03300	3
HG02442	3
HG03499	3
HG03313	3
HG02283	3
HG03168	3
NA19323	3
HG02282	3
HG03464	3
HG03096	3
HG02611	3
HG03385	3
HG03391	3
HG03380	3
HG02014	3
NA19917	3
HG02322	3
HG02053	3
HG02052	3
HG02427	3
HG02010	3
NA20281	3
NA19385	3
HG03397	3
HG03077	3
HG01885	3
HG03343	3
HG01986	3
NA20362	3
NA20359	3
HG02983	3
HG01990	3
NA19914	3
NA19256	3
NA18915	3
NA19390	3
NA19463	4
NA19445	4
NA19435	4
NA19434	4
NA18879	4
HG03189	4
HG03139	4
HG03259	4
HG02570	4
HG03458	4
HG02496	4
NA19383	4
HG03439	4
HG03172	4
NA19901	4
NA18881	4
HG03193	4
HG02923	4
NA19213	4
HG03111	4
HG02946	4
HG03162	4
NA19172	4
HG02541	4
NA18520	4
HG03303	4
NA20298	4
HG02582	4
HG02143	4
NA19437	4
NA19446	4
NA19401	4
HG01985	4
HG03196	4
NA19399	4
NA19391	4
HG02323	4
NA19818	4
NA19035	4
HG02947	4
HG03126	4
NA19114	4
HG02013	4
HG03520	4
NA19184	4
NA19141	4
HG03118	4
HG03190	4
HG02976	4
HG02943	4
NA19319	4
NA19200	4
NA19711	4
HG02817	4
NA19171	4
HG03105	4
NA19900	4
HG03378	4
HG03082	4
HG03372	4
HG03369	4
NA18873	4
NA19315	4
HG02666	4
HG02449	4
NA18909	4
HG03081	4
NA20291	4
HG02464	4
HG03556	4
HG03212	4
HG03025	4
HG02769	4
NA19020	4
HG02839	4
HG03027	4
HG02890	4
HG02573	4
NA19707	4
NA19204	4
HG03577	4
HG03478	4
NA19921	4
HG02938	4
NA19704	4
HG02012	4
NA19092	4
NA19118	4
HG03175	4
NA18934	4
HG02944	4
HG02450	4
HG03301	4
NA18499	4
HG02537	4
NA20278	4
NA19214	4
HG01912	4
NA19819	4
HG02807	4
NA18502	4
HG03115	4
HG02973	4
NA20348	4
NA20346	4
HG03352	4
HG03061	4
HG03195	4
HG03572	4
NA18853	4
NA19309	4
NA18504	4
HG03280	4
HG03304	4
HG03160	4
NA18488	4
HG03511	4
HG02308	4
NA19160	4
NA19147	4
NA19236	4
NA20342	4
NA19700	4
HG02968	4
NA19113	4
NA19238	4
NA19138	4
HG02315	4
NA19235	4
HG03419	4
